area,bbox_x,bbox_y,bbox_width,bbox_height,predicted_iou,point_coords_x,point_coords_y,stability_score,Y
82564,0,41,405,341,0.9846926927566528,10.0,127.5,0.9660964608192444,0
336,603,0,30,15,0.9793828129768372,610.0,7.5,0.9881305694580078,0
489,474,338,38,15,0.9736492037773132,490.0,352.5,0.9878048896789551,0
6274,325,352,193,126,0.9704275131225586,350.0,367.5,0.9622700214385986,0
120,228,47,13,10,0.9680413007736206,230.0,52.5,0.9916666746139526,0
403,315,313,37,12,0.9649099707603455,330.0,322.5,0.9900990128517151,0
79,146,436,6,12,0.964785635471344,150.0,442.5,0.9873417615890503,0
698,109,317,38,24,0.9580308794975281,130.0,322.5,0.9732016921043396,0
1903,358,345,59,133,0.9535213708877563,370.0,412.5,0.9504299163818359,0
142,168,295,7,20,0.9521245360374451,170.0,307.5,0.9652777910232544,0
94,122,270,9,10,0.9507356286048889,130.0,277.5,0.9789473414421082,0
7843,458,40,110,165,0.9499689936637878,470.0,187.5,0.9504050016403198,0
13165,180,384,276,94,0.9491021633148193,370.0,472.5,0.9502843618392944,1
68,107,276,13,5,0.9478827118873596,110.0,277.5,0.9852941036224365,0
11339,68,278,155,116,0.9463173151016235,150.0,292.5,0.9668632745742798,0
473,151,295,24,21,0.9444513320922852,170.0,307.5,0.9606625437736511,0
1287,149,316,37,74,0.9425422549247742,170.0,322.5,0.9510542154312134,0
3883,414,388,122,45,0.9416680932044983,450.0,412.5,0.9708491563796997,0
99,88,458,8,12,0.9362775087356567,90.0,457.5,0.9900000095367432,0
9038,179,384,146,94,0.9358686208724976,210.0,442.5,0.9640021920204163,1
471,210,424,45,16,0.9309720396995544,230.0,427.5,0.9647302627563477,1
289,323,323,30,15,0.9285605549812317,330.0,337.5,0.9590443968772888,0
95,125,382,11,8,0.925886332988739,130.0,382.5,0.9791666865348816,0
138,59,343,14,13,0.9254105091094971,70.0,352.5,0.9714285731315613,0
6950,179,384,112,78,0.9218555092811584,210.0,457.5,0.9509116411209106,1
687,254,265,18,130,0.92139732837677,270.0,292.5,0.9548659920692444,0
786,563,390,56,19,0.9144149422645569,610.0,397.5,0.951911211013794,0
376,51,0,31,70,0.913490355014801,70.0,37.5,0.9712041616439819,0
64,185,273,12,5,0.9131274819374084,190.0,277.5,0.9692307710647583,0
490,75,333,57,9,0.9127237796783447,90.0,337.5,0.9556451439857483,0
5082,576,223,63,120,0.9109556674957275,610.0,232.5,0.9661017060279846,0
403,456,274,35,13,0.9034261703491211,490.0,277.5,0.9729729890823364,0
205,136,382,27,8,0.9015225172042847,150.0,382.5,0.9759615659713745,0
325,433,380,25,13,0.8997137546539307,450.0,382.5,0.9696969985961914,0
2171,149,279,73,36,0.8976045250892639,170.0,292.5,0.9566395878791809,0
124,451,348,25,6,0.8844367265701294,470.0,352.5,0.953125,0
16831,0,273,115,202,1.030930519104004,30.0,352.5,0.9864825010299683,0
9132,503,389,136,89,1.024340271949768,630.0,412.5,0.9897547960281372,0
10852,0,343,115,133,1.012044906616211,10.0,457.5,0.9835420846939087,0
1742,34,412,54,55,1.005428671836853,70.0,427.5,0.9828962087631226,0
2887,186,316,37,79,1.0023387670516968,190.0,337.5,0.9766803979873657,0
1501,137,28,66,27,0.9972086548805237,150.0,52.5,0.9815425276756287,0
6300,414,388,127,90,0.9955078363418579,430.0,397.5,0.9822215437889099,0
1209,3,273,62,40,0.9951888918876648,10.0,307.5,0.9827444553375244,0
1177,323,44,68,23,0.9947673082351685,330.0,52.5,0.9823232293128967,0
830,358,344,60,16,0.9905470609664917,410.0,352.5,0.9868578314781189,0
1408,547,47,28,86,0.9900758862495422,550.0,112.5,0.9740168452262878,0
4783,432,273,83,63,0.9883760213851929,450.0,307.5,0.9776767492294312,0
639,387,320,46,15,0.9870840907096863,430.0,322.5,0.9798761606216431,0
2727,456,273,60,60,0.9855687618255615,470.0,292.5,0.9640158414840698,0
2012,432,274,39,59,0.9855074286460876,450.0,307.5,0.9832759499549866,0
4969,507,163,80,150,0.9838001132011414,570.0,217.5,0.9715479612350464,0
3092,1,287,62,76,0.982326090335846,30.0,322.5,0.9766325354576111,0
735,323,323,49,16,0.9814126491546631,330.0,337.5,0.977150559425354,0
15845,434,37,135,236,0.9793553352355957,490.0,262.5,0.977544903755188,0
2554,106,389,61,75,0.9770113229751587,130.0,397.5,0.9836893081665039,1
1606,456,369,85,23,0.9764547944068909,530.0,382.5,0.9851301312446594,0
2921,68,281,79,39,0.975463330745697,70.0,307.5,0.9716790318489075,0
663,476,454,32,25,0.9733139872550964,490.0,457.5,0.9864864945411682,1
4403,149,315,74,80,0.973171591758728,190.0,337.5,0.984455943107605,0
2778,511,238,39,100,0.9693825840950012,530.0,322.5,0.9733948111534119,0
6495,518,138,121,113,0.9681547284126282,590.0,172.5,0.9828981757164001,0
647,474,338,52,15,0.9675617814064026,490.0,352.5,0.9800000190734863,0
847,59,342,57,17,0.96753990650177,90.0,352.5,0.98591548204422,0
4342,68,281,79,60,0.9658682346343994,70.0,307.5,0.9801687002182007,0
1113,309,65,62,24,0.9628419280052185,350.0,82.5,0.9707187414169312,0
1999,125,358,52,105,0.9592818021774292,150.0,367.5,0.9787759184837341,0
899,79,358,46,34,0.9572593569755554,110.0,367.5,0.9801543354988098,0
908,117,341,54,18,0.9510340690612793,170.0,352.5,0.9858078360557556,0
2464,545,37,37,104,0.9509646892547607,570.0,127.5,0.970788300037384,0
1339,68,317,79,24,0.9487069249153137,70.0,337.5,0.9706529974937439,0
1034,365,405,51,73,0.9458261132240295,370.0,412.5,0.9770773649215698,0
3386,0,0,78,70,0.945174515247345,50.0,52.5,0.9766423106193542,0
714,42,201,21,34,0.9348804950714111,50.0,232.5,0.9710744023323059,0
688,71,342,45,15,0.9341155886650085,90.0,352.5,0.9521126747131348,0
1627,106,389,61,31,0.933518648147583,130.0,412.5,0.9702849984169006,0
4057,288,333,189,122,0.9208986759185791,310.0,352.5,0.9615663290023804,0
755,252,266,23,131,0.9194802045822144,270.0,322.5,0.9842105507850647,0
5492,360,0,156,91,0.906582236289978,450.0,52.5,0.9543997049331665,0
522,179,443,38,19,0.8992903828620911,210.0,457.5,0.9569288492202759,1
9336,511,139,128,199,1.021667242050171,530.0,307.5,0.9768229722976685,0
35570,0,0,516,91,1.0192652940750122,170.0,67.5,0.9576590657234192,0
14259,527,244,112,167,1.0159989595413208,570.0,277.5,0.9859302043914795,0
37873,504,139,135,339,1.0089987516403198,530.0,292.5,0.9912725687026978,0
83600,0,41,404,341,1.0060844421386719,390.0,172.5,0.9571396708488464,0
4869,0,288,88,179,0.997672438621521,50.0,442.5,0.968055009841919,0
1908,0,184,18,121,0.9966090321540833,10.0,277.5,0.9756097793579102,0
27389,402,0,237,317,0.9893273115158081,470.0,52.5,0.9532737135887146,0
111422,0,0,639,382,0.9883185625076294,330.0,112.5,0.9675745368003845,0
323,602,0,30,15,0.9873118996620178,610.0,7.5,0.9846625924110413,0
2616,0,183,26,117,0.9851239919662476,10.0,217.5,0.9763602018356323,0
459,336,323,36,15,0.9829340577125549,350.0,337.5,0.9826464056968689,0
2689,4,459,242,20,0.9776967763900757,110.0,472.5,0.9797570705413818,0
13061,0,40,70,243,0.9761237502098083,30.0,247.5,0.9602076411247253,0
6540,324,351,207,127,0.9651845693588257,390.0,382.5,0.9643338918685913,0
121,228,47,14,9,0.9639595150947571,230.0,52.5,1.0,0
11479,68,279,155,116,0.9623024463653564,150.0,292.5,0.9761637449264526,0
1735,273,325,48,88,0.9616150856018066,310.0,367.5,0.9641001224517822,0
473,75,333,57,10,0.9589186310768127,110.0,337.5,0.9648760557174683,0
404,315,313,37,11,0.9568940997123718,350.0,322.5,0.982758641242981,0
477,151,296,24,20,0.956737756729126,170.0,307.5,0.9792531132698059,0
65,107,276,13,5,0.9559386372566223,110.0,277.5,0.9545454382896423,0
2174,456,369,85,109,0.9534323215484619,490.0,382.5,0.9500739574432373,1
218,629,342,10,23,0.9525231719017029,630.0,352.5,0.9772727489471436,0
23473,504,244,135,234,0.9496068954467773,570.0,382.5,0.9761633276939392,0
4113,414,388,127,45,0.9488789439201355,450.0,412.5,0.9745925068855286,0
4856,607,0,32,227,0.943829357624054,630.0,142.5,0.9572997093200684,0
138,168,295,7,20,0.9416408538818359,170.0,307.5,0.9571428298950195,0
420,358,310,35,13,0.9416003823280334,370.0,322.5,0.9788732528686523,0
102,122,270,9,10,0.9413312673568726,130.0,277.5,0.9901960492134094,0
392,308,358,11,32,0.9390851259231567,310.0,367.5,0.989847719669342,0
67,186,273,10,6,0.935498058795929,190.0,277.5,0.9558823704719543,0
480,583,402,56,22,0.933259129524231,630.0,412.5,0.9613034725189209,0
492,210,425,45,16,0.9328436851501465,230.0,427.5,0.9779559373855591,1
958,417,408,16,71,0.932237446308136,430.0,427.5,0.9559876918792725,0
295,434,380,24,13,0.9253780841827393,450.0,382.5,0.9735099077224731,0
455,42,201,21,22,0.9188051819801331,50.0,217.5,0.9589632749557495,0
7000,149,279,74,117,0.9169379472732544,210.0,292.5,0.9639843106269836,0
113,418,350,17,6,0.9163936972618103,430.0,352.5,0.9739130139350891,0
107,124,383,12,8,0.910744845867157,130.0,382.5,0.9727272987365723,0
180,444,348,32,6,0.9096338152885437,450.0,352.5,0.9617486596107483,0
9830,131,384,195,94,0.9082468748092651,270.0,412.5,0.9544827342033386,1
182,59,344,17,14,0.9018470644950867,70.0,352.5,0.95652174949646,0
319,51,0,31,71,0.8988296389579773,70.0,37.5,0.9595015645027161,0
1501,609,257,30,85,0.8935415148735046,630.0,322.5,0.9569190740585327,0
143,306,272,25,17,0.8877606987953186,310.0,277.5,0.9930070042610168,0
434,476,441,40,14,0.8852078318595886,510.0,442.5,0.9772209525108337,1
14625,524,245,115,167,1.0262534618377686,630.0,367.5,0.9842583537101746,0
9532,508,139,131,201,1.0169743299484253,530.0,307.5,0.9767755270004272,0
2887,186,316,37,79,1.005730390548706,190.0,322.5,0.9786868095397949,0
1247,3,273,62,38,1.000840663909912,50.0,292.5,0.9809825420379639,0
1505,137,28,66,27,0.9988396763801575,150.0,52.5,0.9874835014343262,0
1422,547,46,28,86,0.9960673451423645,550.0,112.5,0.9777932167053223,0
6254,414,388,125,90,0.9946041107177734,430.0,397.5,0.9839809536933899,0
5155,503,164,80,153,0.9943114519119263,530.0,232.5,0.9849884510040283,0
1159,29,441,46,37,0.9910845160484314,70.0,457.5,0.9812126159667969,0
1167,325,44,67,23,0.9904245734214783,350.0,52.5,0.9880647659301758,0
831,358,344,60,17,0.9900644421577454,370.0,352.5,0.9832736253738403,0
2657,0,183,27,117,0.9873442649841309,10.0,217.5,0.9626647233963013,0
3052,0,289,61,75,0.9824274182319641,30.0,337.5,0.98052579164505,0
647,387,320,46,16,0.9810659289360046,430.0,322.5,0.9770641922950745,0
1565,456,369,82,23,0.9776707291603088,470.0,382.5,0.98543381690979,0
2064,432,274,40,59,0.9774226546287537,450.0,292.5,0.9707854390144348,0
2526,107,389,60,76,0.9769679307937622,130.0,397.5,0.9815541505813599,0
4464,432,273,78,63,0.9764302968978882,450.0,277.5,0.9769656658172607,0
832,59,342,57,16,0.973401665687561,90.0,352.5,0.9821215867996216,0
2451,456,273,55,62,0.9724827408790588,470.0,292.5,0.9694778919219971,0
683,476,454,33,25,0.9721872210502625,490.0,457.5,0.9840116500854492,1
4420,149,315,74,81,0.9718213081359863,190.0,337.5,0.9854031205177307,0
2908,69,281,78,39,0.9710771441459656,70.0,307.5,0.9769178628921509,0
601,473,338,50,15,0.9669433236122131,490.0,352.5,0.9835526347160339,0
509,75,333,57,10,0.9647194147109985,110.0,337.5,0.9863813519477844,0
2510,545,36,37,104,0.9636099338531494,550.0,127.5,0.9728560447692871,0
4330,68,281,79,60,0.9631201028823853,70.0,307.5,0.9801415205001831,0
14750,441,40,127,232,0.9610764384269714,510.0,157.5,0.9682814478874207,0
867,80,358,45,34,0.9582402110099792,110.0,367.5,0.9705215692520142,0
1987,125,358,52,105,0.9572970867156982,150.0,367.5,0.9750747680664062,0
1338,68,317,79,24,0.9532060027122498,70.0,322.5,0.9807407259941101,0
700,117,341,54,16,0.9521313905715942,170.0,352.5,0.9677870869636536,0
1029,366,404,50,74,0.9500170350074768,410.0,427.5,0.975071907043457,0
1614,69,71,8,208,0.9496219754219055,70.0,97.5,0.9554216861724854,0
4011,414,388,125,44,0.9492594599723816,490.0,397.5,0.9586493968963623,0
2851,508,239,39,101,0.9469442367553711,530.0,307.5,0.9641626477241516,0
1105,308,64,63,25,0.9432137608528137,330.0,82.5,0.9583333134651184,0
1577,107,389,60,31,0.9410329461097717,130.0,412.5,0.9726027250289917,0
3312,0,0,77,68,0.9398732781410217,50.0,52.5,0.973832905292511,0
1394,149,317,37,78,0.9384244680404663,170.0,337.5,0.9535538554191589,0
501,209,425,46,16,0.9380694031715393,230.0,427.5,0.9782178401947021,1
1499,521,62,39,87,0.9346943497657776,530.0,142.5,0.9646365642547607,0
723,42,201,21,35,0.9274699687957764,50.0,217.5,0.9595141410827637,0
736,252,266,21,130,0.9238002300262451,270.0,307.5,0.9665775299072266,0
6459,149,279,74,117,0.9034804105758667,210.0,292.5,0.9603704810142517,0
17187,0,273,117,204,1.0222347974777222,70.0,457.5,0.9829872250556946,0
11632,0,343,117,133,1.0213043689727783,10.0,472.5,0.9868977069854736,0
8785,503,389,136,89,1.0194272994995117,630.0,427.5,0.9682116508483887,0
38448,503,140,136,338,1.0154119729995728,630.0,427.5,0.9877357482910156,0
35495,0,0,516,91,1.0138968229293823,250.0,37.5,0.9524435997009277,0
83296,0,41,405,341,1.0007731914520264,390.0,172.5,0.9568513631820679,0
1920,0,184,18,121,0.9984270930290222,10.0,277.5,0.9815384745597839,0
4217,0,289,75,189,0.9927147626876831,30.0,322.5,0.9729041457176208,0
320,602,0,31,15,0.9867642521858215,610.0,7.5,0.9937694668769836,0
458,336,323,36,15,0.9841787219047546,350.0,337.5,0.9761388301849365,0
27662,403,0,236,318,0.9840709567070007,590.0,7.5,0.9545127153396606,0
112691,0,0,639,383,0.9828113317489624,290.0,187.5,0.9512620568275452,0
23758,504,245,135,233,0.9822025299072266,550.0,382.5,0.9858524203300476,0
2445,67,460,179,19,0.9794715642929077,110.0,472.5,0.9779440760612488,0
13041,0,40,71,242,0.9722551703453064,30.0,247.5,0.9632375240325928,0
129,228,47,14,10,0.9671608805656433,230.0,52.5,0.9923076629638672,0
6469,324,352,203,126,0.9666323661804199,350.0,367.5,0.9574149250984192,0
1720,273,325,49,88,0.9648774862289429,310.0,367.5,0.9594148397445679,0
6597,513,139,126,114,0.9648640155792236,610.0,217.5,0.981370210647583,0
400,315,313,37,11,0.9631295800209045,350.0,322.5,0.9731051325798035,0
138,168,295,7,20,0.9556140303611755,170.0,307.5,0.9784172773361206,0
370,627,344,12,37,0.9541133642196655,630.0,352.5,0.9759358167648315,0
2177,456,369,82,109,0.9535388946533203,470.0,382.5,0.9670248031616211,1
11403,68,279,155,116,0.9468050003051758,150.0,292.5,0.9641990065574646,0
64,107,276,13,5,0.9458335041999817,110.0,277.5,0.9846153855323792,0
428,358,310,35,13,0.9455854296684265,370.0,322.5,0.9769052863121033,0
260,627,344,12,21,0.94300776720047,630.0,352.5,0.9771863222122192,0
1692,59,342,65,50,0.9409370422363281,110.0,352.5,0.9548054933547974,0
5040,607,0,32,232,0.938834547996521,630.0,157.5,0.9527080059051514,0
584,581,403,58,27,0.938497006893158,630.0,427.5,0.9506802558898926,0
478,151,296,24,20,0.9361686706542969,170.0,307.5,0.9854771494865417,0
69,186,273,10,6,0.9353894591331482,190.0,277.5,0.9714285731315613,0
4138,288,334,192,121,0.9349915981292725,290.0,367.5,0.9508390426635742,0
102,122,269,9,11,0.9346280097961426,130.0,277.5,0.9807692170143127,0
374,42,201,21,18,0.9309985041618347,50.0,217.5,0.9841269850730896,0
955,417,408,16,71,0.9264904856681824,430.0,442.5,0.9609856009483337,0
395,308,357,11,33,0.9263679385185242,310.0,367.5,0.9825000166893005,0
285,130,436,22,13,0.9205923080444336,150.0,442.5,0.9557521939277649,1
9788,131,385,195,93,0.9195117950439453,190.0,412.5,0.9535391926765442,1
1518,255,265,76,58,0.9174063205718994,310.0,292.5,0.9544287323951721,0
246,44,223,18,13,0.9155049920082092,50.0,232.5,0.9759036302566528,0
344,50,0,32,71,0.9145594239234924,70.0,37.5,0.9685714244842529,0
38,189,350,3,12,0.9129813313484192,190.0,352.5,0.9736841917037964,0
112,124,383,12,8,0.9124653935432434,130.0,382.5,0.9734513163566589,0
135,451,348,25,6,0.9058369994163513,470.0,352.5,0.970588207244873,0
405,251,0,40,83,0.8989688754081726,250.0,82.5,0.9588377475738525,0
144,305,272,26,17,0.8930914998054504,310.0,277.5,0.9655172228813171,0
278,196,0,16,79,0.8915793895721436,210.0,7.5,0.9512194991111755,0
19183,0,272,154,203,1.038527488708496,50.0,337.5,0.9867923259735107,0
2897,186,316,37,79,1.0053834915161133,190.0,337.5,0.9798152446746826,0
1307,3,272,63,42,0.9984259009361267,10.0,307.5,0.9833080172538757,0
1492,137,29,66,26,0.9981964230537415,150.0,52.5,0.9807308912277222,0
1336,102,397,47,39,0.9951589703559875,110.0,412.5,0.9792746305465698,0
6271,414,388,125,90,0.9951229095458984,430.0,397.5,0.9830936789512634,0
5139,501,169,81,149,0.9931610226631165,530.0,187.5,0.9812849760055542,0
1193,324,44,68,23,0.9912782311439514,330.0,52.5,0.9866443872451782,0
828,358,344,60,16,0.9908398389816284,410.0,352.5,0.9868420958518982,0
4297,1,289,148,147,0.9881843328475952,10.0,322.5,0.9735814332962036,0
2702,5,460,241,19,0.9845539331436157,130.0,472.5,0.9816040992736816,0
648,387,320,46,16,0.9819785356521606,430.0,322.5,0.9755725264549255,0
723,0,185,18,39,0.9805266857147217,10.0,217.5,0.9903714060783386,0
14350,441,39,127,235,0.9786452054977417,510.0,157.5,0.9671627283096313,0
2833,508,238,38,104,0.9775086045265198,530.0,307.5,0.9731332659721375,0
1550,456,369,82,23,0.9772440791130066,470.0,382.5,0.9871794581413269,0
728,323,323,49,16,0.974409818649292,330.0,337.5,0.9849931597709656,0
4420,149,315,74,81,0.9737663269042969,190.0,337.5,0.9829634428024292,0
1406,547,46,28,87,0.973527729511261,550.0,112.5,0.965132474899292,0
830,59,342,57,16,0.9715142250061035,70.0,352.5,0.9785969257354736,0
685,476,454,33,25,0.9693138599395752,490.0,457.5,0.9812138676643372,1
710,79,358,46,33,0.968937873840332,110.0,367.5,0.9777777791023254,0
6726,504,140,135,114,0.9686194062232971,590.0,187.5,0.9845201373100281,0
1163,0,224,17,87,0.9649611115455627,10.0,232.5,0.9803754091262817,0
1534,118,389,49,76,0.9645062685012817,130.0,397.5,0.9838605523109436,0
2948,2,289,62,72,0.9630048274993896,30.0,337.5,0.9738255143165588,0
537,473,339,48,14,0.9619871973991394,490.0,352.5,0.9815497994422913,0
1551,59,342,66,49,0.9613409042358398,110.0,367.5,0.983428955078125,0
2405,456,274,55,62,0.96098393201828,470.0,292.5,0.9709254503250122,0
2897,69,281,78,39,0.9595468640327454,70.0,292.5,0.97316575050354,0
2026,432,275,41,58,0.959337055683136,450.0,307.5,0.9598063230514526,0
1114,309,64,61,25,0.9557669758796692,350.0,82.5,0.9604569673538208,0
1038,364,404,52,74,0.9536975622177124,370.0,412.5,0.9744560122489929,0
4346,433,273,77,63,0.9525736570358276,450.0,307.5,0.968019962310791,0
1682,68,71,9,208,0.9525681138038635,70.0,97.5,0.9522988796234131,0
713,109,317,38,24,0.9520105719566345,130.0,322.5,0.9763888716697693,0
4332,68,281,80,60,0.9515447616577148,70.0,337.5,0.981295645236969,0
912,117,341,54,18,0.9505921602249146,130.0,352.5,0.9794149398803711,0
4081,414,388,125,45,0.946804940700531,450.0,412.5,0.9734106659889221,0
1400,149,317,37,78,0.9445088505744934,170.0,322.5,0.9572829008102417,0
548,582,404,57,26,0.9428195357322693,630.0,427.5,0.978300154209137,0
1529,520,60,40,88,0.9408317804336548,530.0,142.5,0.9635083079338074,0
1207,112,282,34,35,0.9405485987663269,130.0,307.5,0.975570023059845,0
780,41,201,22,36,0.9391894936561584,50.0,232.5,0.9671717286109924,0
2504,545,36,36,106,0.9374353885650635,570.0,67.5,0.9619607925415039,0
3327,0,0,77,69,0.9368838667869568,50.0,52.5,0.9745411276817322,0
4061,288,333,191,122,0.9317924976348877,310.0,352.5,0.961158037185669,0
9199,178,385,147,93,0.9310544729232788,230.0,457.5,0.958759605884552,1
1361,68,317,79,25,0.9193180799484253,110.0,322.5,0.9665697813034058,0
764,252,266,22,131,0.9191973209381104,270.0,292.5,0.9767140746116638,0
1779,93,421,62,46,0.8998220562934875,110.0,442.5,0.9575991034507751,0
5530,359,0,157,91,0.8834899067878723,450.0,52.5,0.9528101682662964,0
1781,428,0,88,29,0.8829508423805237,470.0,22.5,0.9745856523513794,0
538,0,391,53,13,0.8817204833030701,30.0,397.5,0.9578754305839539,0
9687,504,140,135,202,1.0312933921813965,510.0,322.5,0.9718695878982544,0
8881,503,390,136,88,1.0228054523468018,630.0,427.5,0.9765957593917847,0
34091,0,0,516,91,1.0182005167007446,130.0,37.5,0.9539639949798584,0
38500,501,140,138,338,1.0179368257522583,630.0,427.5,0.9869892001152039,0
14649,524,246,115,167,1.0160466432571411,630.0,322.5,0.9767441749572754,0
13585,0,344,155,132,1.0114264488220215,50.0,397.5,0.9832859039306641,0
83165,0,41,404,341,1.010727047920227,390.0,172.5,0.9568307995796204,0
1912,0,184,18,121,0.9892613887786865,10.0,202.5,0.9703173041343689,0
321,602,0,30,15,0.9878509640693665,610.0,7.5,0.9876543283462524,0
28375,403,0,236,318,0.9848123788833618,590.0,7.5,0.9509050250053406,0
113204,0,0,639,382,0.9846009016036987,350.0,112.5,0.9644948840141296,0
461,336,323,36,15,0.9827642440795898,350.0,337.5,0.9806034564971924,0
23589,504,246,135,232,0.9823968410491943,550.0,382.5,0.9822345972061157,0
13006,0,40,70,241,0.9803953766822815,30.0,247.5,0.9616669416427612,0
13087,179,384,277,94,0.9726485013961792,370.0,472.5,0.9584567546844482,1
2676,0,183,27,122,0.9717036485671997,10.0,277.5,0.9577006697654724,0
1741,273,325,49,90,0.9676735401153564,310.0,367.5,0.9534016847610474,0
476,75,334,57,9,0.9675207138061523,110.0,337.5,0.9752066135406494,0
135,228,47,14,10,0.9659337401390076,230.0,52.5,0.9781022071838379,0
6500,324,352,203,126,0.9643146991729736,350.0,367.5,0.9567551612854004,0
1850,358,345,60,133,0.9598124027252197,370.0,412.5,0.9513343572616577,0
407,315,313,37,12,0.9594566822052002,350.0,322.5,0.9757869243621826,0
64,107,276,13,5,0.957777202129364,110.0,277.5,0.96875,0
318,628,344,11,34,0.9573351144790649,630.0,352.5,0.9844720363616943,0
2177,456,369,82,109,0.9551452398300171,470.0,382.5,0.9744633436203003,1
139,168,295,7,21,0.9513381123542786,170.0,307.5,0.9645389914512634,0
1977,125,358,52,105,0.9505599737167358,170.0,397.5,0.9761193990707397,0
114,124,383,12,8,0.9476255178451538,130.0,382.5,0.9572649598121643,0
246,628,344,11,22,0.9473063349723816,630.0,352.5,0.9838056564331055,0
11496,68,279,155,116,0.9456528425216675,190.0,292.5,0.9611048698425293,0
102,122,270,9,10,0.9412660598754883,130.0,277.5,1.0,0
666,0,136,15,43,0.9399411678314209,10.0,142.5,0.9590643048286438,0
423,358,310,35,13,0.9384960532188416,370.0,322.5,0.9631336331367493,0
480,151,296,24,20,0.9384841918945312,170.0,307.5,0.9752577543258667,0
